date,kWh
2022-08-11,70.81400000000001
2022-08-12,337.899
2022-08-13,1013.841
2022-08-14,4304.897
2022-08-15,1536.907
2022-08-16,1013.981
2022-08-17,4933.903
2022-08-18,4187.885
2022-08-19,3404.539
2022-08-20,3245.257
2022-08-21,3189.908
2022-08-22,3555.569
2022-08-23,1340.315
2022-08-24,1498.625
2022-08-25,355.736
2022-08-26,937.515
2022-08-27,3953.807
2022-08-28,47.545
2022-08-29,389.836
2022-08-30,976.519
2022-08-31,691.104
2022-09-01,2290.245
2022-09-02,3072.118
2022-09-03,1999.2
2022-09-04,925.025
2022-09-05,2468.653
2022-09-06,94.74600000000001
2022-09-07,317.918
2022-09-08,1991.004
2022-09-09,634.0989999999999
2022-09-10,2042.567
2022-09-11,881.943
2022-09-12,1484.872
2022-09-13,1797.1
2022-09-14,1701.691
2022-09-15,1513.85
2022-09-16,381.74
2022-09-17,400.478
2022-09-18,1247.3410000000001
2022-09-19,1191.615
2022-09-20,1016.8340000000001
2022-09-21,1092.153
2022-09-22,1177.916
2022-09-23,758.463
2022-09-24,1132.605
2022-09-25,939.346
2022-09-26,78.476
2022-09-27,519.976
2022-09-28,89.943
2022-09-29,187.24
2022-09-30,46.558
2022-10-01,290.14300000000003
2022-10-02,253.142
2022-10-03,678.714
2022-10-04,753.734
2022-10-05,989.301
2022-10-06,1408.979
2022-10-07,1085.107
2022-10-08,444.137
2022-10-09,10.567
2022-10-10,66.982
2022-10-11,101.174
2022-10-12,218.939
2022-10-13,27.196
2022-10-14,20.544
2022-10-15,102.651
2022-10-16,153.147
2022-10-17,78.062
2022-10-18,171.575
2022-10-19,123.20100000000001
2022-10-20,356.377
2022-10-21,861.974
2022-10-22,546.134
2022-10-23,687.359
2022-10-24,604.136
2022-10-25,1384.719
2022-10-26,1481.2839999999999
2022-10-27,1487.0720000000001
2022-10-28,698.628
2022-10-29,1061.357
2022-10-30,1113.028
2022-10-31,731.284
2022-11-01,1998.84
2022-11-02,1552.214
2022-11-03,2139.469
2022-11-04,1455.508
2022-11-05,1819.79
2022-11-06,805.07
2022-11-07,1529.195
2022-11-08,2795.407
2022-11-09,2965.799
2022-11-10,2797.645
2022-11-11,940.212
2022-11-12,383.436
2022-11-13,666.198
2022-11-14,276.791
2022-11-15,149.6
2022-11-16,1460.364
2022-11-17,2965.091
2022-11-18,2593.785
2022-11-19,3660.491
2022-11-20,1272.29
2022-11-21,56.897
2022-11-22,389.146
2022-11-23,50.653999999999996
2022-11-24,17.863
2022-11-25,87.294
2022-11-26,64.462
2022-11-27,88.535
2022-11-28,93.922
2022-11-29,110.463
2022-11-30,36.664
2022-12-01,108.818
2022-12-02,148.038
2022-12-03,234.557
2022-12-04,466.045
2022-12-05,86.344
2022-12-06,913.317
2022-12-07,2802.675
2022-12-08,4027.915
2022-12-09,1569.299
2022-12-10,4775.966
2022-12-11,945.652
2022-12-12,3971.878
2022-12-13,4102.558
2022-12-14,2498.521
2022-12-15,1816.279
2022-12-16,4814.515
2022-12-17,4616.312
2022-12-18,3548.069
2022-12-19,3937.344
2022-12-20,6188.824
2022-12-21,4440.917
2022-12-22,3508.815
2022-12-23,5760.904
2022-12-24,6949.41
2022-12-25,7417.943
2022-12-26,2668.136
2022-12-27,7714.576
2022-12-28,5549.899
2022-12-29,7000.844
2022-12-30,7204.768
2022-12-31,7084.891
2023-01-01,7992.829
2023-01-02,7739.438
2023-01-03,7531.426
2023-01-04,6679.6990000000005
2023-01-05,8064.545
2023-01-06,5989.6539999999995
2023-01-07,3892.536
2023-01-08,5912.79
2023-01-09,3132.57
2023-01-10,267.931
2023-01-11,2532.081
2023-01-12,7349.425
2023-01-13,7372.065
2023-01-14,7465.659
2023-01-15,7502.991
2023-01-16,7931.091
2023-01-17,7153.465
2023-01-18,7686.73
2023-01-19,7470.593
2023-01-20,2323.672
2023-01-21,8118.278
2023-01-22,7733.649
2023-01-23,6910.615
2023-01-24,4279.923
2023-01-25,5031.498
2023-01-26,4940.574
2023-01-27,7015.217
2023-01-28,5640.564
2023-01-29,8380.181
2023-01-30,8299.53
2023-01-31,8365.784
2023-02-01,7870.523
2023-02-02,7787.534
2023-02-03,463.56
2023-02-04,4822.171
2023-02-05,8364.704
2023-02-06,8218.769
2023-02-07,3459.952
2023-02-08,3387.623
2023-02-09,1957.356
2023-02-10,1959.321
2023-02-11,8203.864
2023-02-12,7708.313
2023-02-13,7961.784
2023-02-14,5829.745
2023-02-15,7554.495
2023-02-16,5395.338
2023-02-17,5796.896
2023-02-18,6336.791
2023-02-19,4957.602
2023-02-20,7647.153
2023-02-21,7392.53
2023-02-22,3612.145
2023-02-23,2194.715
2023-02-24,637.349
2023-02-25,9315.785
2023-02-26,7508.674
2023-02-27,8645.179
2023-02-28,6189.462
2023-03-01,8403.6
2023-03-02,9213.494
